total_population,median_home_value,median_gross_rent,state,zip_code
636,321100,87857,33,03586
1638,161300,60000,33,03588
901,99000,37500,33,03590
1064,159300,44611,33,03592
376,251900,84000,33,03593
704,200500,63229,33,03595
452,76900,32917,33,03597
3166,134100,50938,33,03598
423,184500,70938,33,03601
2465,194500,63304,33,03602
5318,114400,49700,33,03603
123,339400,158269,33,03604
928,174100,70625,33,03605
392,162900,64643,33,03607
2981,251800,71207,33,03608
832,144300,110250,33,03609
712,187500,69196,33,03740
4043,205600,75659,33,03741
13681,135200,48283,33,03743
1550,273500,81012,33,03745
233,272100,104167,33,03746
4866,278800,88041,33,03748
1037,454500,162083,33,03750
468,283700,-666666666,33,03751
702,188800,59583,33,03752
2869,294900,106094,33,03753
51,-666666666,-666666666,33,03754
10595,577300,123250,33,03755
609,211500,66055,33,03765
9388,246100,70268,33,03766
1852,479400,112625,33,03768
531,429200,97500,33,03770
942,188700,70000,33,03771
7858,155700,58760,33,03773
1954,132000,50018,33,03774
1444,303300,73636,33,03777
868,209500,82083,33,03779
435,143600,55729,33,03780
2024,311700,81875,33,03781
3105,314900,86445,33,03782
4109,238600,56921,33,03784
2358,122700,46442,33,03785
22488,432200,85000,33,03801
3524,236000,79653,33,03809
1779,385800,94018,33,03810
6952,367300,118712,33,03811
596,335600,43319,33,03812
2663,165800,64069,33,03813
2315,160400,43947,33,03814
1506,238400,62411,33,03816
931,167900,-666666666,33,03817
3845,182800,52051,33,03818
4496,282100,91694,33,03819
31629,265000,71556,33,03820
1849,374900,126667,33,03823
16481,380000,81995,33,03824
9245,291000,97014,33,03825
2250,319500,74500,33,03826
3152,362300,102181,33,03827
1932,257300,56835,33,03830
299,341700,67031,33,03832
22116,326400,88498,33,03833
6930,196600,70257,33,03835
1349,265900,70096,33,03836
1410,242200,65577,33,03837
1169,247900,59541,33,03838
4048,185500,71053,33,03839
3993,434600,115417,33,03840
6559,330100,89595,33,03841
15353,372300,85585,33,03842
2371,483700,134425,33,03844
1091,205100,58594,33,03845
884,388900,66161,33,03846
363,348700,81658,33,03847
6260,286000,94473,33,03848
1478,222900,72560,33,03849
233,376000,100221,33,03850
4080,205600,71308,33,03851
543,199000,56750,33,03852
474,320200,58438,33,03853
835,1079300,136000,33,03854
2697,237900,81250,33,03855
1757,453100,154375,33,03856
9063,279300,73734,33,03857
4920,317800,107319,33,03858
4479,268600,61157,33,03860
4485,332600,100170,33,03861
4473,424300,95694,33,03862
1853,179900,47464,33,03864
7689,295200,86659,33,03865
21591,173700,64340,33,03867
5316,160600,56599,33,03868
2522,244700,74896,33,03869
5293,690700,122602,33,03870
173,1013900,-666666666,33,03871
3621,234300,83597,33,03872
6220,314600,113750,33,03873
8925,276000,73046,33,03874
1099,278600,85179,33,03875
11970,184800,66737,33,03878
